category,timestamp,n_pkts,n_bits,n_drops,n_syn_pkts,n_ack_pkts,n_psh_pkts,n_rst_pkts,n_fin_pkts,n_ece_pkts,n_urg_pkts,n_cwr_pkts,n_tcp_payload_misbehaviour_drops,n_tcp_payload_misbehaviour_timeouts,n_out_of_order_drops,n_ssl_renegotiation_requests
InboundTCPMetrics,1685405511000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405521000,3,6280,0,2,3,1,1,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405521000,3,6280,0,2,3,1,1,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405521000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405531000,6,20072,0,4,6,1,0,3,0,0,0,0,0,0,0
InboundTCPMetrics,1685405531000,6,20072,0,4,6,1,0,3,0,0,0,0,0,0,0
InboundTCPMetrics,1685405531000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405541000,1,1128,0,1,1,8,1,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405541000,1,1128,0,1,1,8,1,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405541000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405551000,3,4552,0,6,2,1,1,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405551000,3,4552,0,6,2,1,1,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405551000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405561000,2,2008,0,6,1,9,5,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405561000,2,2008,0,6,1,9,5,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405561000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405571000,1,1768,0,1,1,6,1,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405571000,1,1768,0,1,1,6,1,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405571000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405581000,3,5872,0,1,3,1,0,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405581000,3,5872,0,1,3,1,0,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405581000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405591000,8,20272,0,6,8,3,1,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405591000,8,20272,0,6,8,3,1,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405591000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405601000,7,6488,0,2,6,2,1,3,0,0,0,0,0,0,0
InboundTCPMetrics,1685405601000,7,6488,0,2,6,2,1,3,0,0,0,0,0,0,0
InboundTCPMetrics,1685405601000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405611000,1,3048,0,1,1,5,1,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405611000,1,3048,0,1,1,5,1,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405611000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405621000,3,18096,0,3,3,1,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405621000,3,18096,0,3,3,1,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405621000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405631000,1,1328,0,0,1,5,0,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405631000,1,1328,0,0,1,5,0,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405631000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405641000,7,14888,0,6,7,3,3,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405641000,7,14888,0,6,7,3,3,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405641000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405651000,5,11608,0,5,5,2,0,4,0,0,0,0,0,0,0
InboundTCPMetrics,1685405651000,5,11608,0,5,5,2,0,4,0,0,0,0,0,0,0
InboundTCPMetrics,1685405651000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405661000,1,752,0,1,9,6,2,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405661000,1,752,0,1,9,6,2,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405661000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405671000,6,13792,0,2,6,2,3,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405671000,6,13792,0,2,6,2,3,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405671000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405681000,13,21464,0,5,12,5,9,3,0,0,0,0,0,0,0
InboundTCPMetrics,1685405681000,13,21464,0,5,12,5,9,3,0,0,0,0,0,0,0
InboundTCPMetrics,1685405681000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405691000,2,7096,0,2,2,7,1,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405691000,2,7096,0,2,2,7,1,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405691000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405701000,3,5800,0,1,3,1,0,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405701000,3,5800,0,1,3,1,0,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405701000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405711000,5,12360,0,6,4,1,2,4,0,0,0,0,0,0,0
InboundTCPMetrics,1685405711000,5,12360,0,6,4,1,2,4,0,0,0,0,0,0,0
InboundTCPMetrics,1685405711000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405721000,2,5976,0,1,2,1,5,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405721000,2,5976,0,1,2,1,5,1,0,0,0,0,0,0,0
InboundTCPMetrics,1685405721000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405731000,2,4328,0,2,2,1,1,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405731000,2,4328,0,2,2,1,1,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405731000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405741000,1,1040,0,0,1,7,1,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405741000,1,1040,0,0,1,7,1,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405741000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405751000,1,1704,0,1,1,5,2,2,0,0,0,0,0,0,0
InboundTCPMetrics,1685405751000,1,1704,0,1,1,5,2,2,0,0,0,0,0,0,0
InboundTCPMetrics,1685405751000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405761000,2,2008,0,2,1,1,2,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405761000,2,2008,0,2,1,1,2,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405761000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InboundTCPMetrics,1685405771000,8,18944,0,8,8,3,1,3,0,0,0,0,0,0,0
InboundTCPMetrics,1685405771000,8,18944,0,8,8,3,1,3,0,0,0,0,0,0,0
InboundTCPMetrics,1685405771000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
